RIVER	ERECTED	PURPOSE	LENGTH	LANES	CLEAR_G	T_OR_D	MATERIAL	SPAN	REL_L	TYPE
M	CRAFTS	HIGHWAY	?	2	N	THROUGH	WOOD	SHORT	S	WOOD
A	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	SHORT	S	WOOD
A	CRAFTS	AQUEDUCT	?	1	N	THROUGH	WOOD	?	S	WOOD
A	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	SHORT	S	WOOD
M	CRAFTS	HIGHWAY	?	2	N	THROUGH	WOOD	?	S	WOOD
A	CRAFTS	HIGHWAY	SHORT	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
A	CRAFTS	AQUEDUCT	MEDIUM	1	N	THROUGH	IRON	SHORT	S	SUSPEN
M	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	IRON	SHORT	S	SUSPEN
A	CRAFTS	AQUEDUCT	?	1	N	DECK	WOOD	?	S	WOOD
A	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
A	CRAFTS	RR	?	2	N	DECK	WOOD	?	S	WOOD
M	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
A	CRAFTS	HIGHWAY	?	2	N	THROUGH	WOOD	?	S	WOOD
A	CRAFTS	RR	?	2	N	THROUGH	WOOD	?	S	WOOD
A	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	IRON	MEDIUM	S-F	SUSPEN
M	CRAFTS	RR	MEDIUM	2	N	THROUGH	IRON	MEDIUM	?	SIMPLE-T
A	CRAFTS	RR	MEDIUM	2	N	THROUGH	IRON	SHORT	S	SIMPLE-T
A	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
A	EMERGING	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
M	EMERGING	RR	?	2	?	THROUGH	IRON	?	?	SIMPLE-T
M	EMERGING	HIGHWAY	MEDIUM	?	?	THROUGH	STEEL	LONG	F	SUSPEN
A	EMERGING	HIGHWAY	MEDIUM	4	G	THROUGH	WOOD	SHORT	S	WOOD
O	EMERGING	RR	?	2	G	?	STEEL	?	?	SIMPLE-T
M	EMERGING	RR	?	2	G	?	STEEL	?	?	SIMPLE-T
A	EMERGING	RR	?	2	G	THROUGH	STEEL	?	F	SIMPLE-T
M	EMERGING	RR	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
A	EMERGING	RR	?	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
A	EMERGING	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	?	SUSPEN
M	EMERGING	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	S	ARCH
A	EMERGING	HIGHWAY	?	2	G	THROUGH	IRON	MEDIUM	F	SIMPLE-T
M	EMERGING	RR	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
O	EMERGING	RR	LONG	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
M	EMERGING	HIGHWAY	MEDIUM	?	G	THROUGH	IRON	MEDIUM	F	SIMPLE-T
