X96	X41	X1	X33	X51	X82	X84	X21	X28	X37	X16	X92	X80	X64	X29	X57	X18	X3	X46	X83	X5	X15	X60	X26	X93	X72	X27	X77	X97	X58	X94	X35	X69	X19	X36	X11	X78	X63	X89	X6	X34	X14	X98	X68	X52	X17	X25	X2	X54	X73	X55	X61	X86	X91	X75	X76	X10	X30	X59	X79	X40	X74	X20	X45	X47	X81	X4	X38	X42	X67	X90	X65	X85	X100	X44	X24	X53	X50	X12	X9	X31	X70	X7	X87	X23	X95	X99	X66	X62	X32	X13	X8	X56	X49	X71	X88	X43	X48	X39	X22
-1.588	-0.027	1.806	-1.331	0.573	2.383	3.477	0.669	2.221	0.583	-0.232	0.953	0.272	0.190	-0.194	-2.020	2.029	0.475	-1.696	-0.897	0.276	2.501	1.776	-0.657	0.269	1.219	1.059	0.501	2.442	-0.478	2.656	2.000	-2.065	0.697	-1.581	-0.013	0.858	-0.899	-2.686	2.778	-2.201	-1.612	0.910	2.628	-0.690	-0.132	0.117	-0.542	-1.764	4.027	-2.424	0.123	5.262	3.195	-2.380	2.427	3.518	2.469	0.909	-2.398	-0.373	1.160	0.762	-4.712	-0.082	0.662	0.593	1.482	-0.488	-1.715	-1.579	-0.525	0.319	1.371	-0.053	-1.956	-1.354	-0.140	1.581	-0.259	3.064	0.443	0.002	1.844	-1.927	-0.759	-0.152	-1.652	-0.338	0.074	1.893	-0.205	1.907	-2.500	0.247	6.363	2.186	-1.791	-2.898	0.988
-4.832	-1.173	2.982	-1.347	-1.047	-2.065	-0.984	1.060	3.234	-1.170	-0.826	0.815	0.172	-0.616	-0.922	-1.067	0.706	0.995	-0.966	-1.437	1.029	0.180	-0.145	-0.963	-3.053	-1.565	1.761	0.934	-1.578	1.070	-1.141	-4.143	1.982	-1.367	-0.284	1.248	2.715	-1.474	4.266	-1.271	0.062	0.331	0.518	-1.319	0.210	-2.321	-0.081	-0.828	2.200	0.072	-0.028	-1.995	-0.376	1.603	1.278	0.568	0.595	-0.865	-3.707	-1.767	4.465	-0.703	-1.107	-1.884	1.000	2.376	-0.704	1.112	-0.558	-1.811	-0.001	-1.810	1.969	-0.911	0.054	-2.531	-1.478	-0.812	0.792	1.093	-1.125	0.668	0.019	-0.029	0.346	-5.416	0.501	-0.411	-1.964	1.940	0.903	-0.905	-1.643	-0.496	2.177	-0.287	0.139	0.632	-1.348	-0.938
-1.556	0.142	-0.210	-1.625	0.577	1.712	-1.391	-0.779	1.024	0.611	0.384	-1.882	-0.080	-1.394	0.314	-1.483	-0.320	0.506	0.485	1.094	-0.420	-0.522	-0.680	0.277	-2.116	0.331	0.023	-0.175	-0.212	1.335	-0.179	2.718	0.517	2.276	-4.299	-0.433	1.749	1.247	-2.592	-0.835	0.127	-1.650	-1.973	-1.317	0.910	1.961	-2.236	-0.651	-1.144	-1.000	0.760	-2.398	-4.342	-0.946	1.041	0.365	0.586	0.020	0.537	2.031	4.009	0.865	-0.054	-0.827	1.703	0.967	-0.355	-0.765	0.607	-1.485	-0.745	-0.456	-0.825	-0.469	-0.175	-3.322	-0.137	1.580	0.639	-0.904	-0.214	1.148	-0.704	1.327	1.424	1.769	0.427	1.430	-1.701	-0.200	1.424	-0.172	-0.268	2.197	2.582	-1.513	-0.926	0.505	2.527	0.623
-1.163	0.546	0.263	-1.136	-1.052	-2.457	0.025	-2.199	0.828	1.055	-0.780	0.887	0.818	-0.546	-0.834	-0.193	-1.003	1.751	0.424	-1.004	-0.592	-0.544	-1.414	-0.048	0.066	-0.266	-0.074	1.612	4.031	-1.123	-0.042	-2.061	-0.016	-2.052	-1.168	-2.046	3.582	-2.862	1.953	0.291	-1.224	0.083	0.956	1.776	0.518	-1.775	-0.772	-0.146	-1.470	-1.286	3.459	-2.128	-3.708	1.062	-0.968	-0.234	0.829	-0.811	1.583	0.401	3.890	-0.856	-1.618	-0.458	-0.415	1.564	1.983	1.378	-1.883	-0.882	-1.661	1.547	2.521	-1.012	1.256	-0.660	-1.779	0.646	0.575	-0.005	0.528	1.538	3.320	0.781	2.805	-1.134	0.416	-0.319	0.677	-1.230	1.750	0.181	3.821	-2.622	4.400	0.462	1.119	-0.644	-1.613	1.182
-0.226	0.556	0.057	1.173	0.380	3.324	-3.041	-1.121	-0.717	-0.943	1.614	-0.898	-0.369	0.683	-0.539	-3.083	0.486	0.994	3.032	-0.985	0.222	1.554	-0.717	1.817	-2.841	0.523	-1.313	-2.822	2.459	-0.180	-0.775	1.872	-1.430	2.429	0.452	2.011	2.663	-1.770	2.148	-0.331	0.916	-0.461	-2.893	-1.664	-1.962	-2.841	-4.064	1.336	-1.627	0.088	3.477	-1.631	-2.506	1.022	0.662	-2.966	0.923	-0.615	-1.884	1.081	1.156	1.724	1.268	-0.653	1.846	1.656	-1.227	-2.237	-1.801	-1.396	-0.237	-1.553	-0.301	-0.247	-0.373	-0.713	-0.437	0.356	0.133	-0.001	-0.987	0.204	-1.329	0.364	0.624	-3.453	0.631	-0.639	0.852	0.737	-0.966	0.196	0.043	-0.716	3.528	-5.692	-1.990	0.992	-1.463	1.789
1.420	0.833	-1.362	1.013	0.114	-1.995	1.931	-0.515	-2.713	-0.535	1.766	0.050	0.395	0.532	-0.192	1.082	0.351	-1.330	-1.728	-0.247	-1.306	0.155	1.021	0.013	-1.809	-1.415	-1.428	-1.376	0.091	0.372	1.722	-0.902	0.622	1.069	0.800	0.272	1.257	0.955	-0.856	0.455	2.445	-2.042	-1.288	0.456	-1.650	-1.271	-1.485	2.157	-3.197	-1.283	2.142	-1.079	-0.561	1.080	-0.356	1.729	0.569	0.371	0.483	-0.546	1.192	1.113	-0.155	-0.951	2.972	0.843	0.292	0.276	-0.644	-0.423	-1.569	0.641	0.768	1.550	0.846	0.006	-2.398	0.287	-0.413	-0.116	1.678	-0.903	1.033	-0.933	1.199	-1.697	1.112	-1.942	2.067	-0.212	-0.748	-1.155	-0.428	-0.565	0.142	3.218	1.054	1.027	-2.315	-0.565
-2.600	2.124	-3.498	4.529	1.313	-3.000	-1.515	-2.534	2.066	-1.132	1.444	-1.251	-0.261	0.041	-0.275	0.192	-2.305	0.507	-3.713	-1.384	-0.480	0.206	2.022	1.446	-3.735	0.329	-1.634	-0.579	3.613	-1.738	0.357	-1.440	1.249	0.146	2.925	0.490	1.051	-1.797	2.067	-1.669	-0.735	0.341	-0.107	-4.522	1.644	-2.728	-0.079	0.233	0.211	2.000	-0.277	-0.320	0.114	3.102	-1.220	2.490	2.049	-0.379	0.228	1.969	1.938	1.173	-2.870	3.844	0.284	-1.250	-0.304	3.731	-1.537	-0.286	0.255	2.748	0.380	-0.941	-1.075	-1.406	-4.704	-0.462	-0.998	0.097	-1.325	-2.517	0.108	2.279	-1.496	-3.481	-0.494	2.029	1.483	-3.138	0.788	0.381	1.150	-0.034	-2.108	2.483	-2.874	0.541	-1.336	-0.760
-1.333	-0.412	1.677	2.674	0.348	-0.599	2.204	-0.718	0.538	1.754	0.653	-1.579	1.156	-2.580	1.194	0.893	1.109	-1.958	-4.527	0.282	-1.897	0.889	-0.672	-2.387	-0.787	-0.654	-0.641	2.246	-0.812	0.333	1.414	2.084	0.730	-0.749	0.534	-1.501	1.775	-0.989	-0.806	1.561	-0.893	-2.855	-3.421	1.371	0.749	-1.323	-2.005	1.700	0.206	1.560	1.581	-0.686	0.254	2.677	-1.188	-1.475	-1.118	0.046	1.402	0.545	0.335	-0.535	0.538	-3.573	0.993	-1.472	-0.523	2.655	4.308	-0.397	-0.439	-0.366	-2.408	2.006	0.399	-0.424	1.456	1.723	0.672	-0.109	4.531	-0.936	-0.356	-1.506	0.812	-1.581	-0.013	-1.271	-0.498	-0.157	3.309	0.910	-0.011	-3.833	-1.573	0.644	-1.097	-0.965	-1.471	0.331
2.108	1.729	-1.011	0.440	-1.517	2.438	1.044	3.123	0.606	-1.312	-1.238	-0.080	0.696	2.857	2.039	-1.431	1.091	0.985	-0.353	-1.010	0.339	-0.237	-0.480	-0.789	0.085	1.569	-0.166	-2.161	-4.608	0.624	1.441	-0.924	-0.427	0.844	-2.081	0.006	3.301	-4.701	4.515	2.044	3.595	1.706	1.849	0.251	2.140	1.622	-0.458	-2.179	1.697	-1.155	4.074	0.629	0.086	-0.646	-0.353	1.249	-0.948	1.561	1.547	-3.984	1.254	1.643	-0.766	-1.788	-0.639	-1.750	-0.766	0.481	1.458	0.650	3.389	-2.448	1.949	0.115	-1.090	0.357	-1.701	-0.434	-2.409	-0.516	-1.322	-1.327	0.330	2.347	2.465	1.395	0.207	1.916	-0.230	0.698	2.102	0.929	1.785	1.105	3.988	5.409	0.925	-1.471	-1.863	-1.365
3.441	-2.573	-3.104	3.879	-0.537	0.357	-0.040	-0.712	-0.444	-0.907	0.055	1.066	1.074	-0.525	-2.840	-0.010	-1.006	-0.758	1.588	-2.562	-1.913	-0.860	-0.795	-2.251	-0.838	2.948	-1.313	3.332	0.640	-0.613	-0.331	1.587	0.156	1.465	1.522	-1.273	6.912	-1.414	4.451	-1.531	0.639	-1.052	-2.207	-1.793	-1.458	-0.403	0.497	-0.156	-2.561	0.124	1.798	0.899	-2.105	-0.177	-3.305	0.321	0.695	-1.231	-0.986	0.298	-1.609	-0.282	-0.278	0.277	-2.646	-0.982	0.268	1.041	2.125	1.913	0.008	1.929	-2.283	0.627	0.104	1.187	-0.579	1.633	2.055	-0.718	-0.715	-1.481	-2.855	-0.626	0.195	2.977	-0.362	-2.380	-2.053	-0.776	3.241	0.108	1.661	-0.868	1.666	-3.106	-1.183	-1.228	0.443	0.755
2.010	1.612	0.260	-0.262	2.338	1.949	1.208	-1.000	0.010	-0.674	-0.024	1.842	0.817	-0.611	-1.679	1.298	2.437	-0.163	-1.907	2.141	0.942	-1.187	-0.699	0.501	-0.544	0.439	-0.156	-2.215	0.246	0.075	0.051	-0.854	-1.924	-1.081	-0.786	-0.428	-1.914	-3.891	2.259	-0.196	-0.171	-0.701	1.915	0.278	2.379	0.797	1.105	0.148	2.233	2.016	0.386	0.504	3.327	2.057	1.187	-1.187	-1.463	-0.640	2.023	-2.492	-1.131	1.082	-1.906	-2.412	1.220	0.632	-1.475	1.875	0.629	-0.323	-0.949	-2.728	-1.118	0.301	0.960	1.557	0.526	-1.292	-0.657	0.591	-2.497	1.184	2.591	0.159	0.171	-0.757	1.242	-2.380	0.622	0.259	-1.353	1.298	-0.568	1.939	0.007	-0.336	-1.410	-0.098	-1.349	-1.118
