X16	X21	X19	X4	X3	X5	X15	X9	X12	X24	X6	X17	X13	X8	X1	X22	X11	X2	X18	X20	X7	X10	X25	X23	X14
1.5146	-1.2453	0.8176	-1.6477	0.2613	-0.2234	0.8995	-0.2157	-0.2466	0.5592	2.7580	0.5867	-0.9065	2.4716	3.5177	0.8239	-0.0603	-1.1348	-2.3025	-0.6974	-1.4448	-2.6155	-2.4684	-0.8940	-2.2623
-0.0718	-1.5891	1.2336	-0.5419	0.0055	-0.7033	0.3351	-0.4951	0.4375	1.8803	2.6854	-1.1332	0.8890	-1.0934	0.4048	1.0350	-1.5173	-1.0597	0.2333	-0.5399	-0.7163	-1.7727	-3.7789	2.8442	-0.5075
-1.3177	-1.9241	1.0434	-0.0135	-2.9016	-0.0343	0.2723	0.2163	-1.6825	0.5152	1.2949	-0.9091	0.5321	5.2489	-1.8540	-0.1495	1.7891	-0.3783	1.3488	0.3993	-0.8119	2.1732	-1.3843	-0.0223	1.3520
0.9984	-2.2045	-0.1258	-2.1292	-1.3550	0.3934	1.7830	0.2996	1.4126	0.1209	0.9180	-1.0150	-0.9034	-0.6001	-0.7500	3.2336	-0.9023	-0.4025	2.1812	0.3579	0.1559	0.0712	-2.8920	-3.5278	2.4395
0.6221	-0.4576	-1.2213	0.0719	0.0453	-0.6007	0.5149	-0.8111	-1.9891	2.3243	1.1168	1.0897	-1.8064	-1.8364	0.2074	-0.4186	0.3051	0.2853	-0.0489	0.7221	-1.2719	-2.0536	-1.8834	1.4399	1.3486
-1.9187	-0.3419	2.1621	0.6883	-0.1577	-1.9306	2.1925	-0.1673	-0.1195	-0.4992	1.9452	-0.9723	0.2566	-2.0034	-1.0362	-0.7495	0.0525	1.0129	2.0239	0.0361	-2.5377	-2.2913	0.7557	-1.7015	2.3927
2.7387	1.6441	-0.4389	-0.0169	-0.7684	-4.2842	1.1691	3.8177	3.7761	-0.8905	-1.1353	-1.8683	0.2422	-0.3264	0.3433	-1.3832	1.2625	-0.2978	1.0087	-0.9239	2.1160	2.6186	0.4919	-2.2903	-1.3009
-0.0536	-0.1411	-0.3430	0.8353	-0.8287	5.5089	-1.2274	0.8748	-0.3050	-0.6287	1.9527	-1.8731	-2.4289	-1.1617	-1.1710	-0.1230	1.0694	0.1439	1.9763	-1.4235	4.1798	1.8245	-0.9357	-0.2155	-0.2406
-2.5735	-0.2500	0.4840	-0.3838	-1.1035	-1.9855	-1.5606	0.3354	-0.9753	-0.8795	-1.6042	-2.9050	1.1100	1.0718	0.4908	0.4257	3.6878	1.1236	1.9695	1.8036	-1.3560	-0.1925	-0.5460	-2.1033	2.0773
-1.1608	-0.0272	0.5498	-0.4631	-0.7774	-2.1533	-0.6750	1.1841	1.1516	0.6070	1.8247	0.2291	1.7548	3.5633	-1.0151	-2.0480	-1.5345	0.3151	-0.4887	-0.4768	-1.3259	-2.0716	0.7065	1.4979	-2.1426
1.2121	-3.5258	0.0520	1.6171	-2.2336	-5.8452	0.0877	-1.9783	2.9211	0.1228	1.3896	0.5360	1.2860	2.1813	-3.3403	1.2716	1.5669	-4.1344	-0.1828	-1.4430	-0.1175	-0.9134	-2.6404	1.5507	1.1780
2.7141	-0.6419	-0.1891	-0.0132	-0.6449	-1.3001	-0.9515	0.4264	0.3911	0.7704	1.0696	-1.9177	-0.6419	0.7024	-1.1294	-1.1455	-0.6120	-2.3207	-1.3773	0.3375	-0.6500	-3.6612	-0.0094	-0.2543	0.3724
3.4784	2.0509	0.6171	-1.4280	1.8386	0.2122	-0.6577	1.3910	-1.6340	0.0925	-3.8328	-0.8308	0.9119	-0.1132	-1.1681	-4.2624	-1.4925	1.3411	-1.5285	-1.5823	0.7864	2.4331	3.0777	0.5914	-0.8840
-3.2500	-0.2601	2.4288	-0.6681	0.9536	2.7008	-1.1127	0.9834	-0.0897	1.4159	-0.0074	-1.3229	0.2102	-3.5555	1.1199	-0.7564	0.1275	1.9180	1.6824	-0.3356	-1.2224	1.1831	0.2057	-0.2442	-0.5366
2.5315	1.6018	1.6187	0.0380	1.5206	2.0296	2.3832	-1.3493	1.3156	-0.4291	-0.7758	-0.3629	0.5421	-2.8267	2.8045	-0.9304	0.6141	3.5094	-2.1730	-2.2261	-2.2730	-0.8089	0.8031	1.8645	1.1145
1.6029	2.6252	-0.5209	-0.8503	0.7567	-0.2886	-0.5651	4.6858	-4.8529	-0.4749	-4.7625	-1.9362	-0.4855	-4.4455	1.1238	-4.5122	0.9244	2.3379	0.1176	0.9045	3.4323	0.4949	1.3628	0.9672	2.9045
1.7468	1.3211	0.9921	0.8644	1.5140	3.5568	-0.5690	4.1920	-0.3514	-0.5310	-3.7923	-1.1687	0.8899	-3.7392	1.2878	-3.4460	-1.4760	-1.0078	-0.6799	0.8664	2.7521	-0.0811	1.1215	0.8360	-0.8829
2.1599	-1.3897	0.0710	1.9610	-0.1258	-1.0858	-0.7145	0.7951	1.9159	-0.5665	0.6628	-1.2031	-0.7448	2.5203	0.0839	0.7456	-1.8521	-0.9249	-2.4145	-0.4972	0.9553	-0.5339	1.7400	0.5437	3.3847
