X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25
0.0097	0.4784	-1.4843	2.7690	-1.9893	0.3494	-2.3182	-0.1805	0.2579	-0.1988	-1.1650	-0.1685	2.7469	0.7762	-1.1323	0.1427	2.9963	-2.3610	1.3429	-0.1690	3.0070	-0.9492	-1.8529	-0.8279	-2.3733
0.4650	1.7072	1.6067	2.9932	1.4200	-0.9432	-2.8603	-2.0592	0.0297	-3.9197	-4.8795	-3.6058	0.3888	0.5843	1.3648	1.0971	-0.3327	2.9257	0.4546	0.6900	1.1607	-1.7558	-0.3310	-0.9767	-1.5273
0.7335	-0.9221	-2.1637	-0.8729	-0.2654	1.7301	1.8653	-1.2236	0.4686	0.5092	1.0430	-0.5163	-0.6607	2.0906	-3.2959	-5.8171	-3.2900	1.2702	-0.7767	-3.1488	-1.4536	1.6099	1.9030	-2.3582	2.3179
1.6946	0.0831	0.1798	0.3390	0.1715	-0.7676	1.1411	1.1108	0.7570	-0.0012	-1.4234	-0.4822	1.6910	0.4608	2.4303	-0.7354	-0.2310	-0.8673	-1.8784	-1.6346	0.6608	0.9779	-0.5461	2.2473	1.7431
-1.1692	0.6125	0.6707	3.1461	-1.5645	0.5683	-2.3473	0.0215	1.0314	-0.4074	-1.9315	-0.4709	2.8022	0.3737	2.9446	-3.1355	-4.0740	-1.0934	-1.0982	-2.1402	-5.0408	0.1537	0.5474	-3.2190	5.2765
-1.6311	0.8946	0.8141	-1.2565	2.2321	-2.2045	0.2680	0.5609	-1.8760	0.9533	1.3670	-0.1617	-0.1403	0.5638	1.5405	0.8016	1.2282	-4.1615	0.7817	1.5514	-0.7372	-0.0141	-0.3987	-0.8103	-0.4691
0.1225	0.1581	0.1440	-1.8459	-0.6426	-0.5700	0.0884	-0.3557	-0.0034	3.5521	-2.1789	-1.8934	-1.9110	-1.2186	-1.8717	0.7309	0.0285	-1.0057	0.1019	-0.9859	2.3445	2.0585	0.8398	2.4399	0.2057
1.0819	-1.2455	1.8449	1.2225	1.5464	-0.6031	0.0908	-1.6912	-1.2458	-1.0783	0.6334	-0.9304	-3.0871	-1.0491	0.0309	1.3899	3.6494	-1.6418	2.6693	1.1971	2.4639	-1.4389	-0.6317	-0.2482	0.3617
-0.5984	-2.1843	0.5113	3.2807	1.6427	-1.1282	-1.7098	0.8210	-2.4754	-0.5776	-0.1092	0.2553	1.8105	-0.1936	-2.4701	-1.0186	-0.9552	0.5191	-1.2548	-0.5261	-1.7444	-0.6561	-0.6044	0.4298	-0.5337
-0.4920	1.4719	0.1949	2.1245	0.3837	1.2028	3.8261	1.1771	1.2190	0.2458	-0.3161	-0.8051	-1.4299	-0.3332	-0.4248	-1.2333	-1.7247	-1.5295	1.6603	2.2021	-0.3373	0.5137	0.9879	-0.1075	3.6920
0.1468	2.5523	-2.3285	-3.9862	-1.0526	1.1085	-1.9886	-1.1789	-0.4846	5.3821	-0.0028	-2.4508	-1.0796	-2.2210	1.0547	-0.7970	0.6026	-2.2267	1.8920	-1.1040	-5.1461	0.5703	2.0706	-0.3411	-0.8430
-0.8422	0.6391	1.6079	1.0191	0.6673	0.1455	-1.1632	1.2274	2.1927	-1.9128	-1.6986	-0.4093	1.6079	5.2848	-3.1313	0.2339	4.1840	-2.7589	2.0995	0.1149	1.8033	-0.0858	-3.3021	-0.2324	-1.8365
-2.4936	2.0126	2.5485	1.6542	-0.0417	0.9360	-1.9197	0.0540	-0.1486	1.0511	0.2454	-0.2113	3.5838	-1.2422	-1.2635	1.1794	-0.0187	2.1681	-0.4992	1.0937	2.5838	-2.7008	-2.1297	-0.6480	0.4414
0.6445	1.4166	2.0306	1.6166	0.9462	-2.3329	1.3019	3.0209	-0.8479	-0.4030	0.8131	1.9040	2.8564	-0.2619	-1.8549	0.7546	-0.6261	-2.8941	-0.2356	-0.6032	0.5049	2.6371	-1.0923	-0.2300	-2.9789
0.5131	0.7696	-1.3782	1.7873	-1.7702	-0.6882	1.3336	-0.4147	0.2169	1.3633	0.6339	-0.5592	2.1641	-0.0047	1.3235	-0.9296	1.5918	0.9288	0.3726	-0.4231	-1.4578	-2.2540	0.4288	1.2953	1.4586
0.1414	-0.0382	0.8985	0.1833	0.2231	0.6052	-2.6230	0.0570	0.1160	-1.4350	2.1010	0.5214	0.0265	-0.7881	1.2480	0.6607	1.4155	-1.2493	0.1324	2.8857	3.5856	-0.7990	-1.3551	-0.4055	-3.6193
0.3441	2.2513	-0.8638	-0.8479	0.7775	1.2834	0.6028	0.9921	-0.9831	-0.4841	-2.6007	1.5635	-1.9191	-0.9578	0.0126	0.7779	2.5212	-0.5565	0.6960	2.3022	0.3816	-0.6998	0.3579	-0.5904	-3.8780
0.0563	-0.9595	-0.0447	-0.4981	1.6592	1.0335	-0.6516	-1.6241	-0.0975	-0.6912	0.7466	0.4644	-0.3884	0.1308	0.1623	-0.8575	-1.7632	4.2652	-0.5301	-3.4312	-2.2663	3.5519	0.7142	-1.8998	-1.5316
1.0765	0.5032	0.9191	1.7986	-0.9800	-0.2721	0.1691	0.5389	-1.4060	-1.3046	0.1318	0.3063	-0.8183	1.9742	0.7494	0.4463	0.3775	-0.4930	0.9491	2.4719	0.5479	-0.4630	0.1156	-1.5773	-2.2194
-1.3543	-1.7740	-1.4670	-0.3127	-2.7812	-2.5699	0.2254	0.4837	0.7358	-1.4079	-1.7122	0.6158	-3.5828	1.3623	0.2327	-0.7907	-1.0784	-2.2973	-2.7694	-1.9666	2.1798	2.3309	0.4654	1.0141	0.5326
-0.5569	-1.4627	-1.7785	-2.2655	-3.3351	-3.3073	-0.8034	0.2926	-1.3601	-3.7825	-1.6079	0.2303	0.1869	0.8277	0.8664	0.7737	-1.6441	0.5498	-1.7008	2.8732	2.1570	-0.9054	-3.7679	0.0655	2.1832
-1.1253	0.9497	0.0805	-1.9350	-2.1529	2.1251	-1.5647	-0.0810	0.7284	1.0082	-0.4812	-2.1578	3.4947	2.4063	-0.1963	-0.2620	2.5442	2.0063	2.3300	0.4587	-1.2529	3.7110	1.5822	0.8338	0.8038
-0.0254	0.4608	0.6543	0.3469	0.0190	-0.5932	0.2893	-0.7699	1.3590	0.0598	1.7653	-0.5766	0.1517	0.5835	-0.3560	2.2103	1.9969	-2.8547	3.0306	2.0384	5.7319	-3.2602	-2.0917	2.5144	-4.4246
2.0310	1.5151	0.3708	-0.3019	0.4505	0.4717	-0.1208	-1.0783	-0.4028	1.6784	-0.9680	0.6175	1.0475	-1.1287	0.2582	1.0049	3.3125	0.9989	1.5899	-0.1010	4.2358	-4.2702	0.2396	1.0099	3.5104
-0.5642	-3.0028	-0.5922	-1.0342	-3.1085	-0.4663	1.5966	-0.0486	-1.0300	0.8650	1.8789	-1.0193	0.0763	-1.8857	0.7016	-3.4915	-4.8247	1.8213	-0.8739	-1.7158	-5.7736	2.5896	2.4593	0.5986	2.4830
-3.6138	3.3258	1.1192	1.0505	4.0293	0.1173	-0.2139	-0.1091	0.0563	-1.8742	-3.0309	1.1209	0.1763	-0.0266	-1.4129	3.4280	0.5059	1.0593	1.1657	1.6732	1.5167	-0.2146	-0.9692	0.1694	-1.8817
0.7865	1.6164	-0.9887	2.8089	-0.6484	0.2207	0.5290	1.1967	-0.1373	0.3355	0.7281	0.1788	-0.8144	-1.5277	1.0863	-0.2112	-0.7715	-1.8011	0.8610	0.0098	4.3193	-2.2418	0.7644	0.0938	-0.9710
