Years	Rank	Sex	H-Index	Research	Admin	Retention	Salary	Chair	Teaching
51.000	5.000	1.000	140.000	1515563.000	0.000	0.000	260000.000	1.000	0.000
14.000	3.000	0.000	35.000	582694.000	0.000	1.000	155000.000	1.000	0.000
15.000	4.000	1.000	55.000	845684.000	1.000	1.000	190000.000	1.000	0.000
10.000	3.000	0.000	24.000	387976.000	0.000	1.000	150000.000	0.000	0.000
22.000	4.000	0.000	45.000	157427.000	0.000	0.000	161500.000	0.000	0.000
17.000	3.000	0.000	27.000	372436.000	0.000	0.000	135000.000	0.000	0.000
33.000	4.000	0.000	84.000	991500.000	0.000	0.000	180000.000	0.000	0.000
24.000	4.000	0.000	46.000	329402.000	0.000	1.000	185000.000	1.000	0.000
51.000	5.000	1.000	102.000	634916.000	0.000	0.000	225000.000	1.000	0.000
46.000	5.000	0.000	90.000	66111.000	0.000	1.000	230000.000	1.000	0.000
48.000	4.000	1.000	94.000	1329844.000	0.000	0.000	195000.000	1.000	0.000
12.000	3.000	1.000	39.000	369760.000	0.000	1.000	155000.000	0.000	0.000
10.000	3.000	0.000	23.000	159645.000	0.000	1.000	132000.000	0.000	0.000
29.000	4.000	1.000	63.000	14576.000	0.000	0.000	176000.000	0.000	0.000
25.000	3.000	1.000	32.000	0.000	0.000	0.000	128000.000	0.000	0.000
34.000	4.000	1.000	63.000	171893.000	1.000	1.000	266500.000	1.000	0.000
19.000	3.000	1.000	28.000	1046.000	0.000	0.000	135000.000	0.000	0.000
2.000	1.000	1.000	16.000	0.000	0.000	0.000	101000.000	0.000	0.000
11.000	3.000	1.000	40.000	367155.000	1.000	0.000	134000.000	0.000	0.000
35.000	4.000	0.000	8.000	0.000	1.000	0.000	130000.000	0.000	1.000
29.000	3.000	0.000	0.000	0.000	0.000	0.000	117500.000	0.000	1.000
22.000	4.000	0.000	17.000	0.000	0.000	0.000	133250.000	0.000	1.000
7.000	1.000	1.000	4.000	0.000	0.000	0.000	98000.000	0.000	1.000
