X4	X6	X9	X1	X8	X7	X10	X5	X2	X3
-0.0710	3.6943	-1.3354	-0.2385	-3.5907	0.5467	-2.0420	-0.9035	-0.9766	-0.7678
1.6757	-0.7227	0.9775	-1.7506	0.1454	0.6598	-1.6191	-0.9460	-1.5292	-0.1235
1.0966	0.5097	-1.0988	0.7764	0.0848	2.3760	-0.3700	2.3841	-1.5451	-1.9008
-4.3499	0.2813	1.2420	0.7578	-1.3649	0.6126	-3.7240	-0.2461	2.4666	-3.2122
0.5596	-3.1253	-0.6786	-1.9069	2.9059	-1.8679	1.0271	1.0077	1.1139	-1.9491
0.2507	9.3178	-0.0197	1.9763	-7.9542	-0.4593	-8.0199	-2.6454	-0.4514	2.7557
-1.4597	4.7849	2.0664	3.4814	-1.8752	2.9885	-4.4414	-2.0548	-1.3104	1.2285
-1.6705	1.8654	0.1408	0.5457	-3.2376	-1.6090	-2.3465	-1.2194	-0.3315	0.5875
-0.2307	-3.1224	2.7634	-0.8199	1.4521	1.5058	-2.0332	0.4257	-1.9579	-0.6008
-2.1859	-2.5045	1.7245	-2.0206	2.6375	-0.6188	2.1971	-1.9003	-0.0129	-0.1747
-0.2858	-0.0658	-2.3723	-0.8663	2.2146	0.3709	5.8848	-0.6867	-1.9647	1.8814
1.3516	-1.6303	-0.4677	-1.9419	1.6993	2.9275	3.0444	0.8201	-0.0218	0.3366
-1.7571	-0.7698	-2.1621	-1.1819	-0.9416	0.2309	-0.8166	1.2056	0.3078	-1.3014
0.3179	0.7658	-1.6068	2.7793	-2.3166	0.9769	-3.0644	3.0921	-2.2406	-4.0190
0.4701	1.2442	-1.2324	-0.1543	0.0764	0.5785	2.8962	-0.4999	-2.4694	1.8787
2.5170	1.7826	-0.7406	1.1184	0.6392	1.7795	0.0531	2.0615	2.4164	1.2095
1.3048	4.7323	0.0276	0.9087	-2.6885	-0.1293	0.1503	-2.5869	-5.2343	1.4593
-0.7485	0.8563	1.5272	2.5362	-0.8605	0.9650	-0.9143	0.6425	-0.3779	-0.0538
-0.2516	-1.2828	0.8848	-0.5418	-1.4392	1.2990	-2.3418	-3.1561	0.3940	-0.1119
0.1375	3.3973	0.4141	2.0380	-3.6935	-1.8038	-1.7593	0.1354	-3.8995	-0.5967
0.2432	-1.3529	0.4743	-2.1273	0.5637	1.5044	1.7195	-1.1903	0.1429	-1.2742
2.4959	1.2295	0.2330	0.3424	3.3859	2.0382	2.0356	-0.6618	-1.5035	3.4436
-0.8523	-3.5168	4.1819	0.6996	1.4177	-2.7799	-3.9427	-0.6358	-2.1064	-2.6727
1.8495	1.2391	-0.2884	0.9258	-0.7156	-1.9481	-0.3553	-0.8325	1.9874	0.7504
2.0238	-0.2394	-1.6055	-1.6291	0.3280	3.8012	-0.3176	1.1545	-0.1514	-0.0912
-0.1411	-0.2380	1.5266	2.1801	-0.2354	-0.0813	2.0916	1.2490	-0.8740	-0.8239
-2.6730	-2.9315	-0.6103	-0.9424	-0.4059	0.7613	-0.1594	2.4621	0.4802	-4.9942
-0.0665	-0.3205	0.1192	-1.0947	1.2162	0.8530	0.5906	1.7038	0.6516	-0.3076
-1.4180	1.1136	0.2750	0.2763	-1.6798	-3.5426	-2.1922	-1.5674	0.5496	-0.6892
-2.4658	5.1000	-0.7683	1.9189	-3.7065	0.0648	-4.2915	-0.1424	-1.4500	-0.4905
-0.3329	2.5579	1.0945	1.4630	-4.0602	-0.7857	-1.6939	-2.6999	1.6277	0.3684
0.8851	0.4055	0.0644	-1.5399	0.7501	-2.6961	1.0014	0.1158	0.2632	0.8818
-0.6213	-1.2894	-1.7759	-1.5570	-0.6099	3.1321	-1.0460	2.8169	0.2706	-1.8033
0.5508	-1.4884	0.3927	0.5784	2.5199	-1.2999	4.6834	-0.0590	0.3767	0.1404
-0.3030	-2.4156	-0.0150	-0.3546	0.3961	-0.5124	2.1936	0.9502	-0.2920	-0.2192
-0.5823	3.5376	0.1203	1.6000	-3.6744	-0.9381	-1.2548	-1.3559	-2.3045	0.8795
0.0551	-1.8289	-0.3083	-1.3926	0.7156	1.3324	1.5557	-0.4455	0.9520	-0.9319
-2.2679	1.6469	1.2826	-2.1175	-0.2444	-2.5954	0.7439	-2.0048	1.0141	2.4498
-0.3469	-3.1608	-1.5554	-1.8520	4.8485	1.3610	6.3525	2.4727	-1.7255	0.5757
-0.3350	-0.5681	4.0479	0.2018	-0.1733	-3.3440	-0.4627	-4.2881	1.5427	2.4713
-2.4174	-2.0259	0.7802	-1.6109	-1.0833	-0.2756	-3.3173	-0.6454	-2.2155	-1.7434
-0.5118	-0.0086	2.1633	-0.5461	0.9868	0.0148	-2.1537	-1.3663	3.8733	-0.8453
2.2609	-0.6594	-0.0712	-0.0376	2.3996	1.3793	4.0988	2.0193	-0.7848	1.5587
-1.7891	3.3004	1.1488	4.0835	-0.9470	-0.0018	-2.2879	0.5763	2.7419	0.2104
0.9912	-1.0461	1.0896	-1.0954	-1.3871	-0.1534	-0.3312	0.5851	0.0473	-1.8743
1.6307	0.7750	-2.6144	-0.6527	1.2818	2.3074	1.6575	3.8796	0.1921	-1.1939
-1.2710	4.9676	-1.0550	2.2790	-3.0995	-1.4215	0.4797	-1.8270	-0.3720	2.9654
-1.2799	0.7840	-0.3340	0.1584	-4.0924	1.2486	-2.3296	1.7970	-1.0562	-2.8439
-0.7580	0.2143	-0.5397	0.5398	-2.1918	-0.4436	1.3682	1.0414	0.5853	-1.5027
0.1391	-3.0984	1.5643	-2.5112	1.1486	-0.8611	2.8548	-2.5748	-2.6123	0.4311
-0.5960	0.8585	0.7678	1.6967	-1.2626	0.2528	-3.3846	0.2582	0.0528	-0.4480
1.1514	-0.9442	-2.2255	0.1779	1.2972	3.9125	0.3461	4.9674	1.9434	-0.6956
-0.8256	-3.2915	4.4942	-0.7753	2.2304	0.2589	-2.4211	-3.1581	2.0861	0.1392
-1.8624	-0.0155	-0.1747	-0.7486	-0.5588	-1.0966	0.9793	-0.0878	-0.8387	0.9432
-0.6299	8.1893	-1.5712	3.8902	-5.8188	2.2145	-5.7679	-1.0619	-1.7607	1.1217
-0.1445	1.6316	-0.1475	0.4340	-2.7608	-2.2179	-0.1515	0.6116	-0.7695	0.2558
0.8916	0.0602	-0.8377	-1.6382	1.2352	0.9529	0.1486	0.1846	0.7982	-0.1804
1.1773	-3.6591	1.6317	-0.6012	2.4433	-2.7553	-1.5736	0.1773	0.3545	-0.9518
0.6482	-0.0741	3.0841	2.0822	0.8043	0.4107	-1.4986	-0.8625	-0.7313	-0.3198
-0.6847	1.3204	0.7245	1.3137	-1.5223	1.5608	-4.2502	-1.8420	-0.7992	-0.0248
0.1262	0.1790	-0.6024	-0.7279	-3.5068	2.0375	-3.4740	0.2920	0.4157	-2.8416
