X7	X3	X5	X10	X4	X2	X9	X6	X8	X1
0.0652	2.3400	0.2397	0.0670	5.2849	0.1912	1.2716	0.5902	0.4945	1.4707
-0.7084	0.0629	1.9485	0.7830	0.1550	0.1431	0.6590	4.9030	0.2240	0.0496
-0.2521	0.3872	1.8241	0.9072	0.4789	1.8490	-0.3826	2.0913	2.8754	0.1458
2.4362	0.0944	0.2579	-3.9744	-0.0765	0.6074	4.0092	0.3680	1.0288	2.8067
-0.5756	1.2421	0.7223	-0.4915	1.9782	1.0122	3.2289	1.0709	0.8777	1.3893
1.4352	0.6371	0.9059	-1.1641	-0.0265	0.1391	0.7397	1.8931	0.6157	0.0931
0.2701	0.2014	0.2935	0.0785	0.6750	2.1279	0.1877	-1.2630	1.0125	1.0796
3.6758	0.3982	0.3044	-1.4928	-0.0807	0.7143	4.3764	3.6197	0.3630	0.3051
-1.0282	1.5839	0.9040	-0.6286	-0.0973	0.8888	-0.8843	-0.4354	0.4788	1.9348
1.7266	0.7614	1.1497	-1.0546	0.7086	0.3632	2.7542	0.4208	0.4062	1.9283
-0.4895	2.5232	1.6285	1.8273	2.1339	1.6940	1.3005	-0.6706	2.3218	0.0800
-0.3842	0.5206	0.6026	1.0284	-0.0824	0.5875	1.3868	-0.1593	0.7109	1.1886
2.4900	2.8962	0.3193	-2.4159	0.0154	5.4197	1.2469	-0.3106	2.7896	1.0659
0.0559	0.3958	0.0602	-0.1543	-0.0128	0.3831	0.6390	0.6621	1.3332	2.1031
-0.1190	1.0724	0.0963	1.3596	1.5064	0.2806	-0.6481	0.6080	0.4963	0.5400
0.0747	0.0905	1.7185	1.0788	1.7938	0.0328	1.8383	2.7801	0.4661	0.2548
-0.9185	1.3200	1.5679	1.1565	0.1360	2.5649	-0.6599	-0.7345	1.8812	1.5973
0.1144	0.5548	0.0198	0.0656	0.0235	2.8806	-0.1666	-0.8991	2.0948	0.0466
-0.6032	0.8589	0.4487	-1.4162	-0.1433	0.3913	2.7794	-0.1376	0.2477	3.2440
-3.6800	4.6655	3.1723	4.3931	1.5755	0.6387	-5.2815	1.3289	0.3370	1.2575
0.1685	0.4722	0.0980	1.1033	0.2476	3.0018	0.5361	-1.9179	4.0305	0.4410
-0.8185	1.5026	0.1242	0.9224	0.5851	0.3814	-0.8798	0.9878	2.2004	2.1891
2.8487	0.0942	0.2610	-3.0945	0.2889	0.6265	2.1864	0.2625	2.0145	1.2388
-1.5156	2.5192	3.2629	0.0819	-0.6878	0.4020	-2.5185	0.4521	1.0522	2.4550
1.7798	2.6959	1.1223	-1.4934	0.1267	1.3772	1.1879	2.2695	7.5530	0.5173
-3.1459	5.9483	1.1980	2.7166	0.6463	1.3144	-4.3528	-0.2422	1.4107	0.4475
-0.2436	0.9920	0.3200	-0.0984	0.0001	0.5629	2.0457	0.2571	1.7809	0.4127
-2.4575	2.5835	3.0077	1.4811	1.2865	0.6736	-2.1801	1.2073	0.6853	0.7552
0.9591	0.5627	0.8029	-1.4941	-0.3524	1.1225	1.2097	0.2197	0.6546	1.0958
0.9196	0.4223	0.3841	1.2193	1.5749	0.5371	4.6381	-0.0300	1.5640	0.7632
-0.2661	1.4301	0.9721	0.0185	0.5148	0.6795	-0.0347	-0.0091	1.4824	0.7576
-3.4823	1.6364	6.3228	2.1657	-0.1595	0.3423	-3.2571	1.6718	0.2922	1.2464
1.4219	0.1047	0.3486	-1.3419	0.1107	0.5209	1.4771	0.4662	1.8594	1.7771
-0.3403	0.5214	0.6023	2.8456	-0.0242	0.0625	-0.5132	0.3363	1.1645	0.5384
0.2585	0.0565	0.2362	0.4558	3.6299	0.8607	0.5748	-0.2858	2.1260	0.5995
-0.1666	0.8692	0.9063	0.4449	-0.1148	0.6998	-0.5268	-0.3058	2.3634	0.4233
-0.2672	0.0325	2.4305	0.6348	0.7288	1.2914	0.0119	0.5231	1.4211	0.3219
1.2280	0.4122	1.6906	-1.6331	-0.0895	0.4632	0.7484	0.3628	1.6023	0.9485
1.3114	0.5830	0.5020	1.1089	0.3270	0.4294	1.0501	0.0734	1.7054	0.3029
0.5725	0.1111	1.7114	-2.4837	-0.9711	1.3993	0.7866	-0.6650	1.2076	4.1264
0.1198	0.5053	1.7619	-0.7270	0.1880	0.3030	1.7710	2.8224	1.4952	0.8642
-0.1174	2.3264	0.0529	0.6753	0.1484	0.3684	1.6788	1.0151	1.5621	0.9574
0.1814	0.2548	0.1091	3.1216	1.5605	0.3946	0.2026	3.0277	0.1900	0.3208
1.0637	0.3346	0.7766	-0.2595	1.4125	0.0610	1.0515	1.6411	0.1389	0.5240
1.5450	0.1231	0.9764	-2.5731	1.1325	0.5273	1.3824	1.4961	0.3623	1.9673
0.2903	0.0485	1.4814	0.1781	0.7081	1.2676	0.8811	-0.1927	2.1573	0.7377
0.8197	1.8818	1.5296	-0.6951	1.0182	0.1200	1.1450	2.7914	1.8580	0.0943
-2.6044	2.3809	4.9640	2.3362	-0.7304	1.3065	-3.0969	1.5687	0.5002	2.7586
-0.4941	0.6788	1.7559	0.5548	0.0283	0.8383	1.3603	3.5147	1.2704	0.7193
0.0185	0.7239	1.3090	-0.5693	0.2278	0.7622	-0.2108	0.3071	3.6568	1.0720
1.0172	0.3370	0.1725	-1.1308	-0.3368	2.6571	2.1013	-1.5986	1.6837	1.3866
-1.2333	2.7478	0.1687	1.1848	0.2531	0.7522	-1.1197	-0.2103	2.3950	0.7588
0.4631	0.5055	1.7644	0.8754	0.3971	1.4623	0.7976	-0.6516	1.4549	0.0178
1.0242	0.4051	2.6231	-2.5299	-0.1106	0.1039	1.2356	0.9098	3.6727	3.6833
-3.0085	5.2730	1.0816	2.4535	0.6916	0.7140	-4.1407	0.3167	0.9075	0.0920
-0.2118	0.1534	1.4193	-0.8655	-0.1948	0.7376	-0.1244	1.6996	0.4384	1.7442
0.8420	0.3582	2.0247	0.2217	0.2870	0.2816	2.0585	1.3871	0.6517	1.3062
1.1263	0.2729	1.1808	-1.2287	2.0386	0.2900	2.6023	1.1315	2.1082	1.0523
-1.0890	0.2540	2.3679	1.4097	0.2439	0.0481	1.4775	1.0488	0.2223	0.4006
-0.3060	0.2553	1.3071	-0.0781	-0.4081	0.7138	-0.2485	0.4276	2.7386	1.5490
-0.2719	1.8056	0.0890	0.1104	-1.1062	1.1017	-0.3875	-0.6226	0.5644	3.9930
-0.2998	0.5525	0.5738	-2.4578	-1.0236	0.6598	1.9713	-0.0130	0.3834	3.8980
